name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,450490,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2025-12-21T01:04:32Z
freeCodeCamp/freeCodeCamp,435028,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2025-12-21T01:01:23Z
sindresorhus/awesome,423800,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2025-12-21T01:00:58Z
public-apis/public-apis,386925,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2025-12-21T00:59:58Z
EbookFoundation/free-programming-books,379087,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2025-12-21T00:52:28Z
kamranahmedse/developer-roadmap,345795,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2025-12-21T01:04:47Z
jwasham/coding-interview-university,334964,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2025-12-21T00:33:04Z
donnemartin/system-design-primer,329791,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2025-12-21T00:24:14Z
996icu/996.ICU,275051,N/A,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,2025-12-20T21:12:04Z
vinta/awesome-python,274651,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2025-12-21T00:56:55Z
