name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,488321,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-04-10T01:37:46Z
sindresorhus/awesome,453654,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-04-10T01:39:48Z
freeCodeCamp/freeCodeCamp,442393,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-04-10T01:38:07Z
public-apis/public-apis,420515,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-04-10T01:41:56Z
EbookFoundation/free-programming-books,385263,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-04-10T01:38:47Z
openclaw/openclaw,353353,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-04-10T01:46:21Z
kamranahmedse/developer-roadmap,352612,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2026-04-10T01:06:52Z
donnemartin/system-design-primer,342069,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-04-10T01:40:14Z
jwasham/coding-interview-university,340667,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-04-10T01:40:29Z
vinta/awesome-python,291541,Python,"An opinionated list of Python frameworks, libraries, tools, and resources",https://github.com/vinta/awesome-python,2026-04-10T01:46:45Z
