title,url,score,comments,by,hn_url
"Show HN: I replaced a $120k bowling center system with $1,600 in ESP32s",https://news.ycombinator.com/item?id=48968606,1559,172,section33,https://news.ycombinator.com/item?id=48968606
The Zen of Parallel Programming,https://smolnero.com/posts/the-zen-of-parallel-programming,112,11,edgar_ortega,https://news.ycombinator.com/item?id=48907390
Biggest Probabilistic Computer Turns Noise into Answers,https://spectrum.ieee.org/biggest-probabilistic-computer,37,6,rbanffy,https://news.ycombinator.com/item?id=48971938
A new Intel Itanium (IA-64) emulator that boots Windows,https://raymii.org/s/blog/Intel_Itanium_IA-64-Emulator_that_boots_Windows.html,49,33,jandeboevrie,https://news.ycombinator.com/item?id=48971566
"What I learned selling 2,500 MIDI recorders: Hardware is not so hard",https://chipweinberger.com/articles/20260719-hardware-is-not-so-hard,405,196,chipweinberger,https://news.ycombinator.com/item?id=48966713
Claude Code uses Bun written in Rust now,https://simonwillison.net/2026/Jul/19/claude-code-in-bun-in-rust/,394,557,tosh,https://news.ycombinator.com/item?id=48966569
Minecraft: Java Edition now uses SDL3,https://www.minecraft.net/en-us/article/minecraft-26-3-snapshot-4,274,180,ObviouslyFlamer,https://news.ycombinator.com/item?id=48967256
Talk: The Art of Braiding Algorithms,https://pgadey.ca/notes/talk-relatorium-2026/,23,0,surprisetalk,https://news.ycombinator.com/item?id=48920597
OpenAI reduces Codex Model Context Size from 372k to 272k,https://github.com/openai/codex/pull/33972/files,320,149,AmazingTurtle,https://news.ycombinator.com/item?id=48965850
Who Is America's Homer?,https://www.plough.com/articles/who-is-americas-homer,37,76,samclemens,https://news.ycombinator.com/item?id=48913656
