coin,price_usd,market_cap,change_24h,collected_at,trend
bitcoin,70707.0,1414906702201.979,-1.2680118995600813,2026-03-14T01:16:39.878633,📉
cardano,0.264629,9747957111.486814,-2.249787350626163,2026-03-14T01:16:39.878642,📉
ethereum,2088.17,252088760024.62466,-1.8074877222060624,2026-03-14T01:16:39.878644,📉
polkadot,1.45,2430891619.579974,-5.489058635948271,2026-03-14T01:16:39.878646,📉
solana,88.03,50297051054.94167,-2.2688342033712363,2026-03-14T01:16:39.878647,📉
