name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,455120,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-01-09T00:56:18Z
freeCodeCamp/freeCodeCamp,435655,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-01-09T00:57:14Z
sindresorhus/awesome,428146,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-01-09T01:00:11Z
public-apis/public-apis,390241,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-01-09T00:56:45Z
EbookFoundation/free-programming-books,380164,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-01-09T00:51:37Z
kamranahmedse/developer-roadmap,346894,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2026-01-09T00:37:53Z
jwasham/coding-interview-university,335726,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-01-09T01:02:48Z
donnemartin/system-design-primer,331714,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-01-09T00:53:41Z
vinta/awesome-python,277358,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2026-01-09T00:49:24Z
996icu/996.ICU,275132,N/A,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,2026-01-09T00:08:20Z
