name,stars,language,description,url,created_at
withmarbleapp/os-taxonomy,2715,JavaScript,No description,https://github.com/withmarbleapp/os-taxonomy,2026-07-08T09:27:48Z
Robbyant/lingbot-world-v2,932,Python,Infinite Worlds with Versatile Interactions,https://github.com/Robbyant/lingbot-world-v2,2026-07-08T09:24:50Z
x4gKing/3x-ui-Upgrade,890,HTML,No description,https://github.com/x4gKing/3x-ui-Upgrade,2026-07-08T06:13:23Z
Robbyant/lingbot-video,712,Python,Scaling Mixture-of-Experts Video Pretraining for Embodied Intelligence,https://github.com/Robbyant/lingbot-video,2026-07-08T13:52:08Z
mereyabdenbekuly-ctrl/clodex-ide,640,TypeScript,"Local-first, zero-trust agentic IDE for verifiable autonomous software development.",https://github.com/mereyabdenbekuly-ctrl/clodex-ide,2026-07-12T10:35:44Z
vinhhien112/Three.js-Object-Sculptor-Codex-Plugin,619,Python,"Codex plugin that turns attached object images into code-only, animation-ready procedural Three.js m",https://github.com/vinhhien112/Three.js-Object-Sculptor-Codex-Plugin,2026-07-09T16:23:29Z
op7418/guizang-material-illustration,589,N/A,归藏的材质插画 skill：生成带字解释图、图表美化和参考辅助配图。,https://github.com/op7418/guizang-material-illustration,2026-07-07T13:57:13Z
xiaotianfotos/homerail,487,TypeScript,Voice-first local agent orchestration runtime for auditable DAG workflows.,https://github.com/xiaotianfotos/homerail,2026-07-07T12:11:18Z
Robbyant/lingbot-vla-v2,474,Python,From Foundation to Application,https://github.com/Robbyant/lingbot-vla-v2,2026-07-07T16:48:56Z
gostonx/uninstally,420,Swift,"A clean, native macOS uninstaller. Completely removes apps and every file they leave behind using sm",https://github.com/gostonx/uninstally,2026-07-08T17:08:34Z
