city,temperature_c,temperature_f,condition,humidity,wind_speed_kmph,collected_at
Vancouver,8,47,Overcast,100,10,2025-12-06T00:59:24.012280
Toronto,-2,28,Overcast,72,14,2025-12-06T00:59:31.596893
Seattle,13,56,Partly cloudy,80,21,2025-12-06T00:59:42.147296
San Francisco,11,52,Sunny,77,5,2025-12-06T00:59:46.375676
New York,-1,31,Overcast,66,6,2025-12-06T00:59:49.749857
