title,url,score,comments,by,hn_url
Nvidia agrees to acquire Hugging Face for $13B,https://www.businessinsider.com/nvidia-in-talks-to-buy-hugging-face-13-billion-dollars-2026-8,702,290,mfiguiere,https://news.ycombinator.com/item?id=49458161
CEO fired developers to make room for AI. Developers create open source AI CEO,https://github.com/SenteLabsAI/OpenExecutive,332,199,GrumpySciGuy,https://news.ycombinator.com/item?id=49458418
Mechanical Turk shutting down September 30,https://www.mturk.com/,252,79,tmp10423288442,https://news.ycombinator.com/item?id=49457545
GLM-5.3-Flash,https://z.ai/blog/glm-5.3-flash,958,482,Philpax,https://news.ycombinator.com/item?id=49449507
Kusama Yayoi Dies at 97,https://news.jp/i/1465528042000662661,109,9,phantomathkg,https://news.ycombinator.com/item?id=49458709
Asahi Linux Progress Report: Linux 7.2,https://asahilinux.org/2026/08/progress-report-7-2/,177,46,pizzaiolo,https://news.ycombinator.com/item?id=49456851
"Tailcat – Like netcat, but over Tailscale’s data plane",https://github.com/tailscale/tailcat,525,96,nderjung,https://news.ycombinator.com/item?id=49452990
Worst-case glacial lake flood scenarios in a transboundary Himalayan basin 2022,https://nhess.copernicus.org/articles/22/3765/2022/nhess-22-3765-2022.html,117,53,totetsu,https://news.ycombinator.com/item?id=49456929
Laion Big Video Dataset,https://projects.laion.ai/bvd/,37,6,ks2048,https://news.ycombinator.com/item?id=49458478
An ongoing 3D-printer AGPL violation,https://lwn.net/SubscriberLink/1089390/46116614cc74b814/,363,161,Velocifyer,https://news.ycombinator.com/item?id=49452980
