name,stars,language,description,url,created_at
bozhouDev/codex-orange-book,2147,HTML,Codex 橙皮书：从安装到实战案例的全链路 Codex 使用指南（非官方开源，含可下载 PDF）,https://github.com/bozhouDev/codex-orange-book,2026-06-23T02:36:54Z
kanavtwtgg/birds.cafe,735,JavaScript,No description,https://github.com/kanavtwtgg/birds.cafe,2026-06-21T13:57:28Z
BohemiaInteractive/CWR,625,C++,Arma: Cold War Assault Remastered Source Code Repository.,https://github.com/BohemiaInteractive/CWR,2026-06-22T12:56:54Z
QwenLM/Qwen-AgentWorld,568,Python,Qwen-AgentWorld: Language World Models for General Agents,https://github.com/QwenLM/Qwen-AgentWorld,2026-06-22T13:48:37Z
Yu9191/wloc,469,JavaScript,修改 Apple 网络定位（gs-loc）返回坐标 · 支持 Surge / Quantumult X / Loon / Stash · 快捷指令一键设置/恢复定位,https://github.com/Yu9191/wloc,2026-06-24T06:15:30Z
benchflow-ai/awesome-evals,468,N/A,"A curated, non-BS library of the best resources for building and evaluating AI agents — papers, blog",https://github.com/benchflow-ai/awesome-evals,2026-06-24T08:10:33Z
winsznx/theeleven,460,TypeScript,"Eleven autonomous AI agents open live football prop markets on X Layer — custom Uniswap v4 hook, gas",https://github.com/winsznx/theeleven,2026-06-25T07:42:50Z
HKUDS/AgentSpace,456,TypeScript,"""AgentSpace: Human + Agents. One Team. One Workspace""",https://github.com/HKUDS/AgentSpace,2026-06-22T04:08:03Z
m1ckc3s/claude-status-bar,360,Swift,"A tiny macOS menu bar status indicator for Claude Code: animated icons, elapsed timer, and open/clos",https://github.com/m1ckc3s/claude-status-bar,2026-06-21T18:02:49Z
Th0rgal/open_oura,342,Rust,"A Rust toolkit for the Oura Ring (Gen 3/4/5): reverse-engineered BLE protocol, event decoders, and r",https://github.com/Th0rgal/open_oura,2026-06-21T10:43:18Z
