name,stars,language,description,url,created_at
sapientinc/PRAXIST,6208,Python,"Autonomous research system for measurable, computer-executable research.",https://github.com/sapientinc/PRAXIST,2026-08-27T14:20:58Z
XiaoDuoYa/codex-with-chatgpt,2145,TypeScript,ChatGPT thinks. Codex works. Use ChatGPT as the planning brain while keeping the Codex harness.,https://github.com/XiaoDuoYa/codex-with-chatgpt,2026-08-28T12:57:24Z
crmne/fastpotify,1554,Rust,"Spotify, native and fast. One lightweight Rust app for your whole library, local playback, and Spoti",https://github.com/crmne/fastpotify,2026-08-27T12:46:32Z
Nanako0129/sepia,1358,Python,"De-AI writing skill for any Agent Skills-compatible agent (77+ via the Skills CLI), with native plug",https://github.com/Nanako0129/sepia,2026-08-28T05:56:49Z
MetaMask-AI/metamask-desktop,1229,CSS,🌐 🔌 The MetaMask desktop app enables browsing Ethereum blockchain enabled websites,https://github.com/MetaMask-AI/metamask-desktop,2026-08-28T08:07:10Z
damejan80/tokentab,1138,Python,"A CLI that reads Claude Code, Codex, and Gemini CLI session logs and works out how much they cost, b",https://github.com/damejan80/tokentab,2026-08-27T14:16:09Z
cbrock84/headcount,958,Markdown,"An agent organization for Claude Code, structured as a company — 15+ departments, 125+ skills, each ",https://github.com/cbrock84/headcount,2026-08-28T18:03:04Z
jprx/darwin-vm,884,Python,"Run iOS/ macOS in Qemu. Virtual iPhone 17, 16, 15, 14, 13, 12 and M5-M1 Apple Si Macs supported.",https://github.com/jprx/darwin-vm,2026-08-27T22:24:31Z
tradecatlabs/shulihuazixuecongshu,844,Python,No description,https://github.com/tradecatlabs/shulihuazixuecongshu,2026-08-27T18:02:35Z
GangTailorUpgrade/CoomeRtool,825,Python,Coomer Tool,https://github.com/GangTailorUpgrade/CoomeRtool,2026-08-31T00:12:45Z
