name,stars,language,description,url,created_at
deepseek-ai/deepseek-harness,47152,TypeScript,DeepSeek Harness: Everything is a Plugin.,https://github.com/deepseek-ai/deepseek-harness,2026-08-13T11:56:32Z
guillaumemeyer/watermarks-remover,5437,Python,"Strip multi-vendor AI provenance marks: Unicode text hygiene, statistical rewrite hooks, and C2PA/me",https://github.com/guillaumemeyer/watermarks-remover,2026-08-11T16:32:38Z
antirez/h3.c,1778,C,MiniMax H3 inference engine for Mac computers,https://github.com/antirez/h3.c,2026-08-09T09:12:47Z
SMNETSTUDIO/WeChat-AI,1683,TypeScript,No description,https://github.com/SMNETSTUDIO/WeChat-AI,2026-08-10T09:06:43Z
Leutenegger/book-to-skill,1027,Python,"Turn any technical book PDF into a Claude Code skill — ready to study, reference, and use while you ",https://github.com/Leutenegger/book-to-skill,2026-08-13T13:15:23Z
xoreaxeaxeax/skitter-creek-bath-salts,979,C,Unlocking _everything_ on the CPU with DRAM scrambling,https://github.com/xoreaxeaxeax/skitter-creek-bath-salts,2026-08-13T13:50:42Z
gvzdv/claudish-to-english,925,Shell,No description,https://github.com/gvzdv/claudish-to-english,2026-08-10T18:32:23Z
MengTo/kage,891,HTML,"An interactive five-chapter night walk through a Kyoto mountain temple, rendered live in Three.js.",https://github.com/MengTo/kage,2026-08-08T07:05:07Z
SaladDay/pi-from-scratch,889,TypeScript,600 行 TypeScript 写成的超级迷你版 pi，让你轻松从 0 写出属于你的 pi-agent,https://github.com/SaladDay/pi-from-scratch,2026-08-09T12:15:30Z
sohaibdevv/youtube-music,855,TypeScript,"A lightweight, ad‑free client for streaming music from YouTube Music. No subscription required. Supp",https://github.com/sohaibdevv/youtube-music,2026-08-11T18:17:18Z
