name,stars,language,description,url,created_at
ShawnPana/phone-harness,1502,Python,let your agent control your phone,https://github.com/ShawnPana/phone-harness,2026-08-07T22:28:53Z
oil-oil/oil-motion,1483,Python,"Create smooth, responsive interactive web animations.",https://github.com/oil-oil/oil-motion,2026-08-07T12:36:33Z
SMNETSTUDIO/WeChat-AI,1427,TypeScript,No description,https://github.com/SMNETSTUDIO/WeChat-AI,2026-08-10T09:06:43Z
antirez/h3.c,1245,C,MiniMax H3 inference engine for Mac computers,https://github.com/antirez/h3.c,2026-08-09T09:12:47Z
eternityspring/shuohao-skills,904,JavaScript,"AI 短剧制作的 skill 集合：拆角色、出设定图、排大纲 | Agent skills for AI short-drama production — character bibles, mode",https://github.com/eternityspring/shuohao-skills,2026-08-06T10:38:49Z
sohaibdevv/youtube-music,835,TypeScript,"A lightweight, ad‑free client for streaming music from YouTube Music. No subscription required. Supp",https://github.com/sohaibdevv/youtube-music,2026-08-11T18:17:18Z
MengTo/kage,820,HTML,"An interactive five-chapter night walk through a Kyoto mountain temple, rendered live in Three.js.",https://github.com/MengTo/kage,2026-08-08T07:05:07Z
xoreaxeaxeax/asm-hall-of-shame,769,C,Racing to the bottom of CPU performance,https://github.com/xoreaxeaxeax/asm-hall-of-shame,2026-08-06T00:08:06Z
Flaminis/Dalaran,672,Rust,"Dalaran — Apache-2.0, robotics-first visualization and data infrastructure for multimodal time-serie",https://github.com/Flaminis/Dalaran,2026-08-07T09:37:32Z
sv-number/mcp-server,615,JavaScript,"MCP server for AI agents that need a phone number: order a private number in 200+ countries, read th",https://github.com/sv-number/mcp-server,2026-08-07T11:13:26Z
