name,stars,language,description,url,created_at
lnkiai/m3e-canvas,2043,TypeScript,Sketch Material 3 Expressive screens in the browser and turn them into vibe-coding prompts.,https://github.com/lnkiai/m3e-canvas,2026-09-02T04:36:34Z
anthropics/commerce-agents,1934,Python,"Reference blueprint for building shopping and merchant agents with Claude. Examples in retail, comme",https://github.com/anthropics/commerce-agents,2026-09-01T12:30:12Z
shadcn-ui/cn,1108,TypeScript,cn is a new engine for Tailwind class merging and conflict resolution. It replaces tailwind-merge an,https://github.com/shadcn-ui/cn,2026-08-31T07:04:03Z
GangTailorUpgrade/undress-service,1057,Python,Dress AI Sponsor,https://github.com/GangTailorUpgrade/undress-service,2026-08-31T00:12:45Z
2akouwu/reverify,887,Python,"Anti-hallucination for AI agents that read binaries. The model proposes, deterministic tools decide:",https://github.com/2akouwu/reverify,2026-08-31T01:02:18Z
nahrek/polyledger,614,Python,"Resumable Polymarket indexer: CLOB market metadata plus on-chain trades from Polygon, in one DuckDB ",https://github.com/nahrek/polyledger,2026-09-02T17:00:13Z
MSNightmare/FalconFlank,503,C,Crowdstrike Falcon 0day Privilege Escalation Vulnerability,https://github.com/MSNightmare/FalconFlank,2026-09-03T02:48:22Z
Merserk/dlss5-visual-enhancer,490,Python,DLSS 5 Neural Video & Image Enhancer with Frame Interpolation,https://github.com/Merserk/dlss5-visual-enhancer,2026-08-30T19:45:52Z
codejunkie99/fable-orchestrator,470,Shell,Fable 5.1 orchestrates. GPT-5.6 Luna and DeepSeek V4 Flash implement.,https://github.com/codejunkie99/fable-orchestrator,2026-09-02T21:48:23Z
danielblnc/DLSS-NR-on-AMD,459,N/A,Run DLSS 5 Neural Rendering on your AMD GPU. Magic!,https://github.com/danielblnc/DLSS-NR-on-AMD,2026-09-03T00:42:03Z
