name,stars,language,description,url,created_at
MoonshotAI/Kimi-K3,5846,N/A,Open Frontier Intelligence,https://github.com/MoonshotAI/Kimi-K3,2026-07-27T08:01:37Z
mshumer/Claude-of-Duty,2251,JavaScript,"A Call of Duty-quality FPS in Three.js, built from a single prompt.",https://github.com/mshumer/Claude-of-Duty,2026-07-25T19:32:36Z
digimata/quill,1528,Swift,Ultra-minimalist macOS recording + transcription.,https://github.com/digimata/quill,2026-07-24T23:31:27Z
mikiarlo3/ai-copywriter,1046,Python,An AI copywriter that uses real copywriting skills + real marketing knowledge with human tone.,https://github.com/mikiarlo3/ai-copywriter,2026-07-24T19:52:13Z
fuadmefleh/Shared-Claude-Chats,933,Python,"An archive of public Claude and Grok conversations, exported from their share links as plain markdow",https://github.com/fuadmefleh/Shared-Claude-Chats,2026-07-26T01:14:17Z
VictorTaelin/OptMem,874,Python,"Permanent memory for AI agents. A 426-token prompt, a script, plug and play.",https://github.com/VictorTaelin/OptMem,2026-07-25T16:58:43Z
MoonshotAI/MoonEP,861,Python,MoonEP: A Perfectly Balanced Expert Parallelism Library via Dynamic Redundant Experts,https://github.com/MoonshotAI/MoonEP,2026-07-24T09:07:21Z
0xwilliamortiz/openclaude-improved,554,TypeScript,runs anywhere. uses anything,https://github.com/0xwilliamortiz/openclaude-improved,2026-07-26T21:58:28Z
0xwilliamortiz/ponytail-improved,545,JavaScript,Makes your AI agent think like the laziest senior dev in the room. The best code is the code you nev,https://github.com/0xwilliamortiz/ponytail-improved,2026-07-28T14:16:19Z
mikehasa/agentacct,528,Python,See what your coding agents did and what it cost. Breaks each task down into work steps — tools used,https://github.com/mikehasa/agentacct,2026-07-24T16:28:06Z
