name,stars,language,description,url,created_at
Chuloo/mural,1054,Kotlin,The language app you eventually delete. A native iPhone companion for learning through conversation.,https://github.com/Chuloo/mural,2026-09-12T11:51:08Z
sumimakito/Mac-Duo,914,Swift,Wish you could bring the iPhone Duo effect to your MacBook?,https://github.com/sumimakito/Mac-Duo,2026-09-10T18:55:39Z
yifanzhang-pro/recurrent-looped-tranformer,830,HTML,Official Project Page for Recurrent Looped Transformer (RLT),https://github.com/yifanzhang-pro/recurrent-looped-tranformer,2026-09-12T19:02:46Z
kruzovic7/ai-data-extractor,822,Python,"Free open-source extractor for AI coding assistant chat histories. Supports Claude Code, Cursor, Win",https://github.com/kruzovic7/ai-data-extractor,2026-09-11T18:12:58Z
ai-sucks-butt/ai-sucks-butt,812,N/A,"If you think AI sucks, star the repo.",https://github.com/ai-sucks-butt/ai-sucks-butt,2026-09-14T04:02:58Z
angusdevgo/IDM_Pro_Tool,712,C#,IDM激活与状态维护工具,https://github.com/angusdevgo/IDM_Pro_Tool,2026-09-10T09:39:06Z
eternityspring/reelbench-skills,696,HTML,Learning notes and tooling skills for AI video - AI 视频相关的学习与工具 skill,https://github.com/eternityspring/reelbench-skills,2026-09-11T04:55:49Z
nftechie/stonkfly,692,Python,A full retained fly-connectome simulation with experimental memory and guarded Coinbase AgentKit tra,https://github.com/nftechie/stonkfly,2026-09-10T02:40:30Z
zjwzcx/Awesome-Astra-Embodied-AI,688,N/A,GPT-6 Astra for embodied AI and robotics.,https://github.com/zjwzcx/Awesome-Astra-Embodied-AI,2026-09-12T12:20:24Z
rizqinrr/viserys-agent,652,JavaScript,No description,https://github.com/rizqinrr/viserys-agent,2026-09-12T16:51:29Z
