coin,price_usd,market_cap,change_24h,collected_at,trend
bitcoin,65812.0,1320316495104.371,-0.8192328886052718,2026-07-23T01:58:21.211507,📉
cardano,0.174773,6515971881.001344,0.3523089588744367,2026-07-23T01:58:21.211516,📈
ethereum,1928.46,232733770177.32828,-0.1526366163085758,2026-07-23T01:58:21.211519,📉
polkadot,0.831328,1408505070.1874597,-2.4145018455230747,2026-07-23T01:58:21.211521,📉
solana,77.92,45416951738.12395,-0.4888077667643922,2026-07-23T01:58:21.211522,📉
