title,url,score,comments,by,hn_url
PGSimCity - How PostgreSQL Works,https://nikolays.github.io/PGSimCity/,92,15,jonbaer,https://news.ycombinator.com/item?id=49063754
"Decker, a platform that builds on the legacy of Hypercard and classic macOS",https://beyondloom.com/decker/,225,55,tosh,https://news.ycombinator.com/item?id=49060856
Show HN: Physically accurate black hole you can put in your room,https://blackhole.plav.in,26,4,aplavin,https://news.ycombinator.com/item?id=49021270
We have proof automation now,https://www.imperialviolet.org/2026/07/26/zstd-lean.html,78,10,zdw,https://news.ycombinator.com/item?id=49062291
French firefighters face 'pyrocumulonimbus' for first time,https://www.france24.com/en/live-news/20260726-french-firefighters-face-pyrocumulonimbus-for-first-time,186,96,saaaaaam,https://news.ycombinator.com/item?id=49060495
I Championed Prediction Markets. Look What They've Become,https://newsletter.platypuseconomics.com/p/i-championed-prediction-markets-look,20,36,NomNew,https://news.ycombinator.com/item?id=49063789
Teaching Kids Forth,https://gracefulliberty.com/articles/teaching-kids-forth/,52,13,rbanffy,https://news.ycombinator.com/item?id=49062700
US citizen charged after GrapheneOS phone wipes during airport search,https://www.techspot.com/news/113236-us-prosecutors-charge-atlanta-man-after-grapheneos-phone.html,170,97,eecc,https://news.ycombinator.com/item?id=49063022
Introduction to Data-Oriented Design [pdf],https://www.gamedevs.org/uploads/introduction-to-data-oriented-design.pdf,110,35,tosh,https://news.ycombinator.com/item?id=49060724
Design is compromise,https://stephango.com/design-is-compromise,196,74,ankitg12,https://news.ycombinator.com/item?id=49059367
