title,url,score,comments,by,hn_url
98.css,https://jdan.github.io/98.css/#status-bar,214,42,lopespm,https://news.ycombinator.com/item?id=49028927
Writing by hand is good for your brain,https://nealstephenson.substack.com/p/writing-by-hand-is-good-for-your,978,481,dwwoelfel,https://news.ycombinator.com/item?id=49022152
The Visual 6502,http://visual6502.org/JSSim/index.html,43,12,infiniteregrets,https://news.ycombinator.com/item?id=49029538
Show HN: Echo – Fable-level results at 1/3 the cost using open-weight models,https://news.ycombinator.com/item?id=49026810,231,115,adam_rida,https://news.ycombinator.com/item?id=49026810
The Beam Engine,https://glinscott.github.io/beam-engine/,162,55,glinscott,https://news.ycombinator.com/item?id=49007221
What happened to TheNumbers.com,https://stephenfollows.com/p/what-just-happened-to-thenumberscom-should-worry-us-all,292,126,nickthegreek,https://news.ycombinator.com/item?id=49024691
A taxonomy of omnicidal futures involving artificial intelligence (2025),https://arxiv.org/abs/2507.09369,48,37,amelius,https://news.ycombinator.com/item?id=49029133
Startup founders urge U.S. government not to shut off Chinese open weight AI,https://www.politico.com/news/2026/07/22/startup-founders-urge-trump-not-to-shut-off-chinese-open-weight-ai-01008992,723,651,theanonymousone,https://news.ycombinator.com/item?id=49023016
Building on ATProto,https://lukekanies.com/writing/building-on-atproto/,128,59,speckx,https://news.ycombinator.com/item?id=49025984
Why Software Factories Fail (or: harness engineering is not enough),https://github.com/humanlayer/advanced-context-engineering-for-coding-agents/blob/main/wsff.md,174,145,dhorthy,https://news.ycombinator.com/item?id=49023019
