name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,474002,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-03-11T01:14:09Z
sindresorhus/awesome,444486,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-03-11T01:10:54Z
freeCodeCamp/freeCodeCamp,438032,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-03-11T01:10:07Z
public-apis/public-apis,406362,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-03-11T01:14:06Z
EbookFoundation/free-programming-books,383931,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-03-11T00:42:50Z
kamranahmedse/developer-roadmap,350711,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2026-03-11T01:12:45Z
donnemartin/system-design-primer,338401,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-03-11T01:09:42Z
jwasham/coding-interview-university,337815,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-03-11T00:35:14Z
openclaw/openclaw,298432,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-03-11T01:14:22Z
vinta/awesome-python,286621,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2026-03-11T01:05:23Z
