title,url,score,comments,by,hn_url
Scrap,https://twitter.com/moxie/status/2091218652133732491,292,147,tosh,https://news.ycombinator.com/item?id=49402189
NanoGPT Speedrun Frontier,https://www.primeintellect.ai/research/nanogpt-speedrun,39,8,stared,https://news.ycombinator.com/item?id=49404380
Why your local LLM feels dumber than it is,https://forum.level1techs.com/t/why-your-local-llm-feels-dumber-than-it-is/253917,164,49,felineflock,https://news.ycombinator.com/item?id=49402232
"ElevenLabs, TwelveLabs, ThirteenLabs",https://quantumi.sh/public/labs.html,292,99,jemoka,https://news.ycombinator.com/item?id=49400408
"Hister – A private, full content search index that you control",https://hister.org/,221,65,auraham,https://news.ycombinator.com/item?id=49351802
NetBSD and my life (2005),https://mail-index.netbsd.org/netbsd-advocacy/2005/09/10/0000.html,89,22,gnyeki,https://news.ycombinator.com/item?id=49402781
RF Cafe,https://www.rfcafe.com/,143,23,gregsadetsky,https://news.ycombinator.com/item?id=49355659
typ.ing,https://typ.ing/,166,54,bookofjoe,https://news.ycombinator.com/item?id=49346854
How a Texas student blew the whistle on a rogue AI hacking attempt,https://www.reuters.com/world/how-texas-student-blew-whistle-rogue-ai-hacking-attempt-2026-08-20/,99,37,olalonde,https://news.ycombinator.com/item?id=49387959
A Friendly Introduction to Racket,https://geometridae.bearblog.dev/a-friendly-introduction-to-racket/,184,92,signa11,https://news.ycombinator.com/item?id=49399898
