name,stars,language,description,url,created_at
Krishnagangwal/CS-Fundamentals,1437,N/A,"Curated CS fundamentals for placement prep: DSA,Computer Networks, DBMS & SQL, OOPs, Operating Syste",https://github.com/Krishnagangwal/CS-Fundamentals,2026-06-28T07:08:15Z
mekos2772/ios-location-spoofer,1117,JavaScript,Standalone iOS app to spoof GPS location without jailbreak. Includes Shadowrocket/Surge/Loon/QX/Stas,https://github.com/mekos2772/ios-location-spoofer,2026-06-30T11:20:30Z
yynxxxxx/Codex-5.5-codex-instruct-5.5,1112,Python,No description,https://github.com/yynxxxxx/Codex-5.5-codex-instruct-5.5,2026-06-28T10:24:42Z
Kulaxyz/self-learning-skills,897,N/A,"A self-improving skill for AI coding agents (Claude Code, Cursor, AGENTS.md): recognize a hard-won g",https://github.com/Kulaxyz/self-learning-skills,2026-06-28T19:30:36Z
TianhangZhuzth/Fundamental-Ava,754,Python,"Build digital human beings — autonomous, collaborative, and socially intelligent agents. FNzgGxU31RW",https://github.com/TianhangZhuzth/Fundamental-Ava,2026-06-30T01:04:13Z
aquace/CVE-2026-41940-PoC,572,Python,CVE-2026-41940 authentication bypass vulnerability proof-of-concept,https://github.com/aquace/CVE-2026-41940-PoC,2026-06-28T07:13:52Z
diinki/linux-antiquity,502,QML,"A highly tasteful Linux-theme, reminiscent of art-nouveau and old drawings related to astronomy, sci",https://github.com/diinki/linux-antiquity,2026-06-27T23:06:00Z
wlzh/dji-4g-vohive-mac,402,N/A,在 Mac（Apple Silicon / Intel）上用 UTM 跑 Linux 虚拟机，把大疆 4G 模块（EG25-G）伪装成移远 Quectel EC25 并部署 vohive 平台的完整步,https://github.com/wlzh/dji-4g-vohive-mac,2026-06-27T15:02:46Z
Jia-Ethan/codex-keysmith,399,Python,Codex CLI instruction-file installer for local configuration,https://github.com/Jia-Ethan/codex-keysmith,2026-06-28T04:38:07Z
downclash/clash,344,JavaScript,No description,https://github.com/downclash/clash,2026-06-27T04:54:21Z
