title,url,score,comments,by,hn_url
Discovery Loop,https://www.discoveryloop.com/,591,380,xtreak29,https://news.ycombinator.com/item?id=49184960
Zed DeltaDB,https://zed.dev/deltadb,300,151,ahamez,https://news.ycombinator.com/item?id=49187256
The title cards in Blade Runner are amazing,https://randsinrepose.com/archives/blade-runner-title-cards/,142,59,ExMachina73,https://news.ycombinator.com/item?id=49189287
"Changes at Google DeepMind: Demis Hassabis from CEO to Chair, Jeff Dean departs",https://blog.google/company-news/inside-google/message-ceo/next-chapter-ai-momentum/,473,589,colesantiago,https://news.ycombinator.com/item?id=49184755
Beating GPT-5.6 Sol on retrieval with 100x cheaper open models,https://neon.com/blog/how-castform-neon-beats-frontier-models-on-price-and-efficiency,223,41,moonikakiss,https://news.ycombinator.com/item?id=49186762
Muse Code and Muse Spark 1.2,https://research.meta.ai/blog/introducing-muse-code-and-muse-spark-1-2,172,104,paulkrush,https://news.ycombinator.com/item?id=49187575
Prime Agent: A self-improving RLM agent,https://www.primeintellect.ai/blog/prime-agent,103,19,Xeophon,https://news.ycombinator.com/item?id=49189075
"Atlassian Rovo Exfiltrates Data, Bypassing Controls",https://www.promptarmor.com/resources/atlassian-rovo-exfiltrates-data,169,67,hackerBanana,https://news.ycombinator.com/item?id=49185983
NVIDIA’s Vera Whitepaper Has a Thread Loose,https://chipsandcheese.com/p/nvidias-vera-whitepaper-has-a-thread,83,12,pella,https://news.ycombinator.com/item?id=49189234
"Born Against, or why hobby programming communities are against LLM usage",https://blog.fogus.me/llm/born-against.html,131,140,lladnar,https://news.ycombinator.com/item?id=49187061
