coin,price_usd,market_cap,change_24h,collected_at,trend
bitcoin,76552.0,1532893126638.6746,-0.7453269324811161,2026-04-29T02:07:47.778130,📉
cardano,0.247419,9144425320.364067,-0.23335719037991726,2026-04-29T02:07:47.778141,📉
ethereum,2292.47,276695813930.1519,-0.3094452510128245,2026-04-29T02:07:47.778143,📉
polkadot,1.23,2068366218.5005257,-0.417668413740354,2026-04-29T02:07:47.778144,📉
solana,84.12,48442401718.88483,-0.3309565176052396,2026-04-29T02:07:47.778146,📉
