title,url,score,comments,by,hn_url
Bug Blindness,https://danluu.com/bug-blind/,65,26,davidmckenna,https://news.ycombinator.com/item?id=49494520
FreeCORE TrueNAS Core – Continued,https://freecore.org/,28,14,sashk,https://news.ycombinator.com/item?id=49494856
Hy4 preview,https://www.tencent.com/tencent-releases-and-open-sources-tencent-hy4-preview/,206,131,shenli3514,https://news.ycombinator.com/item?id=49492632
RISC-V is now officially supported by CPython,https://blog.python.org/2026/08/riscv-now-officially-supported/,28,2,lumpa,https://news.ycombinator.com/item?id=49425252
"Tether: iMessage, SMS, etc. on Linux",https://zackbartel.com/blog/2026/08/tether/,372,155,zackb,https://news.ycombinator.com/item?id=49415386
Nancy Grace Roman Space Telescope,https://science.nasa.gov/mission/roman-space-telescope/,135,66,JumpCrisscross,https://news.ycombinator.com/item?id=49490870
Lawmakers added $1 to car insurance policies. That money paid for Flock cameras,https://www.texastribune.org/2026/08/28/texas-flock-cameras-auto-insurance-fee-mvcpa-grants/,129,43,DeepLogin,https://news.ycombinator.com/item?id=49494182
Calibrate Before You Accelerate: Bias Toward Action in a New Role,https://tucker.wales/writing/bias-towards-action/,118,49,tuckerwales,https://news.ycombinator.com/item?id=49491714
"Show HN: I missed the moving blocks, so I built a real Linux disk defragmenter",https://github.com/gbin/defragger,7,1,gbin,https://news.ycombinator.com/item?id=49438865
Domain-Driven Agents,https://coldtake.dev/blog/domain-driven-agents,59,6,AlarQ,https://news.ycombinator.com/item?id=49492584
