title,url,score,comments,by,hn_url
F-Droid 2.0,https://f-droid.org/2026/09/24/f-droid-2.0-a-new-chapter-for-android-freedom.html,972,265,daveoc64,https://news.ycombinator.com/item?id=49831968
Show HN: Make cursed fonts like Times New Bastard,https://bastardica.mitpit.com,505,71,MitPitt,https://news.ycombinator.com/item?id=49823738
Show HN: Whiteboard (YC W26) – An open-source IDE for thoughtful software design,https://github.com/devdotfast/whiteboard,212,84,sidharthkmenon,https://news.ycombinator.com/item?id=49833867
Why is the liver so weirdly regenerative?,https://dynomight.substack.com/p/liver,278,160,jbotz,https://news.ycombinator.com/item?id=49832938
Fearless SIMD v1.0,https://linebender.org/blog/fearless-simd-1-0/,197,31,verdagon,https://news.ycombinator.com/item?id=49800085
2DWillNeverDie,https://2dwillneverdie.com/,128,10,surprisetalk,https://news.ycombinator.com/item?id=49801436
Jev and System One Models: Calibration Beats Accuracy,https://www.kartikpansuriya.com/blog/jev-system-one-model-calibrated-decisions,3,0,pansuriyakartik,https://news.ycombinator.com/item?id=49839510
Rails World 2026 Opening Keynote [video],https://www.youtube.com/watch?v=vDjW_dRyKXY,251,266,an0malous,https://news.ycombinator.com/item?id=49817680
Toyota is taking the Corolla electric,https://electrek.co/2026/09/23/toyota-best-selling-corolla-electric/,239,391,cisc,https://news.ycombinator.com/item?id=49823568
My weird new hobby: Wandering around Tokyo on Google Maps,https://ahmedhossamdev.com/writing/my-weird-new-hobby-wandering-around-tokyo/,235,102,ahmedhossamdev,https://news.ycombinator.com/item?id=49805344
