name,stars,language,description,url,created_at
elder-plinius/T3MP3ST,1736,TypeScript,autonomous red teaming platform; multi-agent offensive-security meta-harness,https://github.com/elder-plinius/T3MP3ST,2026-07-02T17:53:55Z
mekos2772/ios-location-spoofer,1329,JavaScript,Standalone iOS app to spoof GPS location without jailbreak. Includes Shadowrocket/Surge/Loon/QX/Stas,https://github.com/mekos2772/ios-location-spoofer,2026-06-30T11:20:30Z
HUANGCHIHHUNGLeo/claude-real-video,991,Python,"Let Claude (or any LLM) actually watch a video — scene-aware, deduplicated frames + transcript, from",https://github.com/HUANGCHIHHUNGLeo/claude-real-video,2026-06-30T10:55:02Z
jamesob/local-llm,927,Shell,Everything I know about running LLMs locally,https://github.com/jamesob/local-llm,2026-07-03T13:06:03Z
ammaarreshi/Generals-Mac-iOS-iPad,811,C++,"Command & Conquer Generals: Zero Hour running natively on macOS, iPhone & iPad — real engine (EA GPL",https://github.com/ammaarreshi/Generals-Mac-iOS-iPad,2026-07-04T02:59:39Z
xuchonglang/investing-for-beginners,712,N/A,小隐寺投资百科官方公开索引：美股、期权与加密货币知识框架,https://github.com/xuchonglang/investing-for-beginners,2026-07-03T03:56:00Z
jmerelnyc/Talos,679,Python,"GPU worker client for the Talos network. Pairs with your Talos account, serves open-model inference ",https://github.com/jmerelnyc/Talos,2026-07-02T14:43:11Z
uzairansaruzi/hermex,620,Swift,Native iPhone app for your Hermes agent,https://github.com/uzairansaruzi/hermex,2026-07-02T12:47:31Z
Kulaxyz/token-diet,587,Shell,"Always-on token-efficiency skill for coding agents (Claude Code, Codex, Cursor, Windsurf, Cline). ~3",https://github.com/Kulaxyz/token-diet,2026-07-03T15:20:04Z
CalmNoteDepot/MECCHA-VISION-ULTIMATE,533,N/A,🎯 Meccha Vision Ultimate — Ultimate Enhancement Tool for MECCHA CHAMELEON ESP · Aimbot · Fly Hack · ,https://github.com/CalmNoteDepot/MECCHA-VISION-ULTIMATE,2026-07-04T20:05:45Z
