title,url,score,comments,by,hn_url
AI's top startups are barely publishing their research,https://www.science.org/content/article/ai-s-top-startups-are-barely-publishing-their-research,198,112,YeGoblynQueenne,https://news.ycombinator.com/item?id=49103285
The coolest use for the Vision Pro,https://christianselig.com/2026/07/vision-pro-house/,385,183,robbiet480,https://news.ycombinator.com/item?id=49102774
Show HN: Open-source engine running Gemma 4 26B in 2 GB RAM on any M-series Mac,https://github.com/drumih/turbo-fieldfare,651,226,gitpusher42,https://news.ycombinator.com/item?id=49098510
Superlogical,https://www.superlogical.com/,524,322,yan,https://news.ycombinator.com/item?id=49098965
LLM Honeypot,https://llm2human.pages.dev/,48,17,8thom,https://news.ycombinator.com/item?id=49104117
Keychron announces first open-source firmware for gaming mice,https://www.digitalfoundry.net/news/2026/07/keychron-announces-first-open-source-firmware-for-gaming-mice,292,109,JLO64,https://news.ycombinator.com/item?id=49099715
The Cold Email,https://zachholman.com/posts/cold-email,87,38,holman,https://news.ycombinator.com/item?id=49103089
Anatomy of a Frontier Lab Agent Intrusion: A Timeline of the July 2026 Incident,https://huggingface.co/blog/agent-intrusion-technical-timeline,292,171,artninja1988,https://news.ycombinator.com/item?id=49089500
The Productivity Mirage,https://frantic.im/mirage/,39,11,msephton,https://news.ycombinator.com/item?id=49104335
Flume Water Monitor 915 MHz Security Is Pretty Good,https://waveformsecurity.com/blog/flume/,4,0,credibleconure,https://news.ycombinator.com/item?id=49105136
