name,stars,language,description,url,created_at
deepseek-ai/deepseek-harness,150029,TypeScript,DeepSeek Harness: Everything is a Plugin.,https://github.com/deepseek-ai/deepseek-harness,2026-08-13T11:56:32Z
anywhere-labs/deepseek-harness-desktop,11659,TypeScript,为 DeepSeek Harness (DSH) 插件生态打造的现代化桌面端解决方案。万物皆「插件」，桌面本身也是「插件」。,https://github.com/anywhere-labs/deepseek-harness-desktop,2026-08-13T16:30:50Z
awesome-dsh-plugin/awesome-dsh-plugin,7582,Python,A curated list of plugins for DeepSeek Harness (dsh) · DeepSeek Harness 插件精选列表,https://github.com/awesome-dsh-plugin/awesome-dsh-plugin,2026-08-13T13:55:31Z
yjh051108/dsh-routing-suite,5368,PowerShell,"dsh-routing-suite — injector + router-standard kit: install the runtime injector first, then the tas",https://github.com/yjh051108/dsh-routing-suite,2026-08-14T21:20:55Z
zhu1090093659/dsh-web-ui,4106,TypeScript,"Plugin and skin collection for DeepSeek Harness (DSH) Web UI - task board, git graph, right-side pan",https://github.com/zhu1090093659/dsh-web-ui,2026-08-12T05:15:20Z
xiaobright/dsh-anchored-standard,3424,JavaScript,"Two-phase DeepSeek Harness preset: Minimal-aligned bootstrap, then full Standard tools (Project2 98/",https://github.com/xiaobright/dsh-anchored-standard,2026-08-14T14:06:39Z
dmmulroy/anti-slop,2370,TypeScript,Opinionated Oxlint rules for rejecting low-evidence TypeScript and JavaScript patterns,https://github.com/dmmulroy/anti-slop,2026-08-12T13:48:50Z
cordiverse/paper,2114,N/A,A Programming Paradigm for Spatiotemporal Composability,https://github.com/cordiverse/paper,2026-08-13T09:53:33Z
ccch1mneyyy/dsh-TUI,1814,TypeScript,DSH 官方公众号收录的 TUI 补位插件：Claude Code 风，鲸鱼顶栏/实时状态/流式思考/双击 Esc 回滚/上下文进度+TPS。npm 一键装。  DSH official WeChat,https://github.com/ccch1mneyyy/dsh-TUI,2026-08-13T12:49:31Z
xoreaxeaxeax/skitter-creek-bath-salts,1778,C,Unlocking _everything_ on the CPU with DRAM scrambling,https://github.com/xoreaxeaxeax/skitter-creek-bath-salts,2026-08-13T13:50:42Z
