title,url,score,comments,by,hn_url
GLM 5.2 beats Claude in our benchmarks,https://semgrep.dev/blog/2026/we-have-mythos-at-home-glm-52-beats-claude-in-our-cyber-benchmarks/,486,239,jms703,https://news.ycombinator.com/item?id=48709670
Historical memory prices 1960-2026,https://dam.stanford.edu/memory-prices.html,175,72,vga1,https://news.ycombinator.com/item?id=48710092
Knowledge Distillation of Black-Box Large Language Models (2024),https://arxiv.org/abs/2401.07013,56,12,babelfish,https://news.ycombinator.com/item?id=48712420
5k menus from the New York Public Library’s Buttolph Collection (1880-1920),https://pudding.cool/2026/06/menu-story/,331,86,xbryanx,https://news.ycombinator.com/item?id=48707763
I used Claude Code to get a second opinion on my MRI,https://antoine.fi/mri-analysis-using-claude-code-opus,359,464,engmarketer,https://news.ycombinator.com/item?id=48708941
Deciphering Basmala,https://blog.plover.com/lang/bismillah.html,17,4,lordgrenville,https://news.ycombinator.com/item?id=48657131
Better Images of AI,https://betterimagesofai.org/,16,11,Curiositry,https://news.ycombinator.com/item?id=48713051
"AI boom risks global financial crash, warn central bankers",https://www.telegraph.co.uk/business/2026/06/28/ai-boom-risks-global-financial-crash-central-bankers-warn/,31,12,b-man,https://news.ycombinator.com/item?id=48713697
TOP500 at ISC’26: We have a New Number 1 Supercomputer,https://chipsandcheese.com/p/top500-at-isc26-we-have-a-new-number,77,37,rbanffy,https://news.ycombinator.com/item?id=48710775
The Boeing 747 begins its final descent,https://www.theatlantic.com/magazine/2026/07/boeing-747-retirement/687304/,145,199,dbl000,https://news.ycombinator.com/item?id=48675295
