name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,473724,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-03-10T01:07:59Z
sindresorhus/awesome,444154,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-03-10T01:10:20Z
freeCodeCamp/freeCodeCamp,437981,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-03-10T00:54:45Z
public-apis/public-apis,405989,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-03-10T01:14:27Z
EbookFoundation/free-programming-books,383879,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-03-10T00:47:17Z
kamranahmedse/developer-roadmap,350631,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2026-03-10T01:08:22Z
donnemartin/system-design-primer,338209,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-03-10T01:08:52Z
jwasham/coding-interview-university,337776,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-03-10T00:17:38Z
openclaw/openclaw,290216,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-03-10T01:14:15Z
vinta/awesome-python,286438,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2026-03-10T01:10:23Z
