name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,487217,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-04-08T01:35:29Z
sindresorhus/awesome,452951,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-04-08T01:37:58Z
freeCodeCamp/freeCodeCamp,442136,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-04-08T01:35:32Z
public-apis/public-apis,420000,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-04-08T01:43:11Z
EbookFoundation/free-programming-books,385152,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-04-08T00:52:37Z
kamranahmedse/developer-roadmap,352467,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2026-04-08T01:25:58Z
openclaw/openclaw,351300,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-04-08T01:41:01Z
donnemartin/system-design-primer,341812,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-04-08T01:38:09Z
jwasham/coding-interview-university,340520,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-04-08T00:49:03Z
vinta/awesome-python,291224,Python,"An opinionated list of Python frameworks, libraries, tools, and resources",https://github.com/vinta/awesome-python,2026-04-08T00:59:41Z
