title,url,score,comments,by,hn_url
The AI Aesthetic,https://blog.jim-nielsen.com/2026/ai-aesthetic/,111,58,montroser,https://news.ycombinator.com/item?id=49117099
Read this before you buy that TV streaming stick,https://krebsonsecurity.com/2026/07/read-this-before-you-buy-that-tv-streaming-stick/,572,337,speckx,https://news.ycombinator.com/item?id=49112744
I flagged two research papers for fake authors and both were accepted as orals,https://geospatialml.com/posts/reviewing-ai-slop/,87,34,volumes94,https://news.ycombinator.com/item?id=49116721
Agent Skill to Force Docs in ASD-STE100 Simplified Technical English,https://github.com/AminBlg/SimpleEnglish,203,73,navs,https://news.ycombinator.com/item?id=49114639
Stacked PRs are now live on GitHub,https://github.blog/changelog/2026-07-30-stacked-pull-requests-are-now-in-public-preview/,469,164,tomzorz,https://news.ycombinator.com/item?id=49112232
Gemini Robotics 2 brings whole body intelligence to robots,https://deepmind.google/blog/gemini-robotics-2-brings-whole-body-intelligence-to-robots/,478,394,ai2027,https://news.ycombinator.com/item?id=49111237
"Destroying a Community with a Gigantic ""Clogged Vacuum Cleaner""",https://gizmodo.com/this-viral-data-center-sounds-like-satans-buzzsaw-2000791122,58,33,ghuroo1,https://news.ycombinator.com/item?id=49068760
The American Grilled Cheese Sandwich Essay (2024),https://buttondown.com/theswordandthesandwich/archive/the-best-american-grilled-cheese-sandwich-essay/,15,3,NaOH,https://news.ycombinator.com/item?id=49073017
"Rune 1.1: adds Python, an Emacs editor, a symbol index and is now free",https://rune.build/blog/rune-1-1-release,48,13,ernestrc,https://news.ycombinator.com/item?id=49116272
CodePen 2.0,https://chriscoyier.net/2026/07/30/codepen-2-0/,132,38,robin_reala,https://news.ycombinator.com/item?id=49113338
