name,stars,language,description,url,created_at
sdli1995/dlssg_for_sm86,2197,N/A,Here is a dlssg for RTX30 Series GPU ,https://github.com/sdli1995/dlssg_for_sm86,2026-09-07T16:16:48Z
openai/NavierStokesAndEuler,1829,Lean,Lean certificates accompanying Navier-Stokes and Euler results,https://github.com/openai/NavierStokesAndEuler,2026-09-08T10:53:38Z
EverettFish/holo-card-studio,1470,Python,"Turn the user's description or uploaded reference into a finished, editable Blender card and an inte",https://github.com/EverettFish/holo-card-studio,2026-09-07T00:41:18Z
Edge0-AI/Edge0,1451,Python,No description,https://github.com/Edge0-AI/Edge0,2026-09-08T13:41:47Z
Vincentwei1021/anything2explainer,1077,TypeScript,"Topic in, narrated explainer video out. A Claude Code / Codex skill that turns any topic into a blac",https://github.com/Vincentwei1021/anything2explainer,2026-09-08T17:19:54Z
achimala/dream-loop,922,JavaScript,Agent skill for impressive 3D visuals using Blender + image gen + subagent critic,https://github.com/achimala/dream-loop,2026-09-07T14:19:20Z
gazijarin/itsgiving,791,Python,"Express yourself in meetings (with memes, of course).",https://github.com/gazijarin/itsgiving,2026-09-08T05:02:01Z
sumimakito/Mac-Duo,694,Swift,Wish you could bring the iPhone Duo effect to your MacBook?,https://github.com/sumimakito/Mac-Duo,2026-09-10T18:55:39Z
SpaceDudem/text-humanizer,669,Python,"text-humanizer is an open-source project designed to convert text generated by AI to its ""humanized""",https://github.com/SpaceDudem/text-humanizer,2026-09-08T15:28:28Z
Colafornia/short-video-generator-AI,650,Python,Free open-source project designed for turning youtube-viedos into viral short videos. Highlight dete,https://github.com/Colafornia/short-video-generator-AI,2026-09-08T14:55:47Z
