title,url,score,comments,by,hn_url
"A 3rd World Embedded Engineer Responds to ""RISC-V They Should Have Known Better""",https://rvembedded.com/blog_post/12/,351,182,Narishma,https://news.ycombinator.com/item?id=49321717
Claude: System Prompts,https://platform.claude.com/docs/en/release-notes/system-prompts,523,219,tosh,https://news.ycombinator.com/item?id=49319556
SIMD in the 90s: Programming Intel's Pentium MMX,https://pikuma.com/blog/programming-intel-pentium-mmx-simd,64,27,ibobev,https://news.ycombinator.com/item?id=49285096
Low-Tech Ceramic Water Filter,https://wiki.lowtechlab.org/wiki/Filtre_%C3%A0_eau_c%C3%A9ramique/en,85,21,Bluestein,https://news.ycombinator.com/item?id=49259980
A quick look at zero-knowledge proofs,https://bernsteinbear.com/blog/zkp/,35,11,evakhoury,https://news.ycombinator.com/item?id=49303776
Protobuf has LSP support. You're welcome,https://buf.build/blog/protobuf-lsp,102,74,theanonymousone,https://news.ycombinator.com/item?id=49322573
The AI Credit Resale Economy,https://vectoral.com/blog/who-are-the-token-brokers,221,88,mlenhard,https://news.ycombinator.com/item?id=49320611
Models Are Getting Dumber on Purpose,https://w4g1.dev/blog/models-are-getting-dumber-on-purpose,251,143,hruvhwe,https://news.ycombinator.com/item?id=49322695
"MathCode, Mathematical Coding Agent",https://math-ai-org.github.io/mathcode/,54,17,homarp,https://news.ycombinator.com/item?id=49322330
Dancing with friends and enemies: boids' swarm intelligence,https://community.wolfram.com/groups/-/m/t/122095,4,0,surprisetalk,https://news.ycombinator.com/item?id=49257362
