name,stars,language,description,url,created_at
yc-software/qm,7331,TypeScript,Multiplayer agent harness for work,https://github.com/yc-software/qm,2026-07-29T20:03:08Z
bashalarmistalt/decimen-optical-transfer,3703,TypeScript,No description,https://github.com/bashalarmistalt/decimen-optical-transfer,2026-07-30T18:17:54Z
trycompai/crm,1857,TypeScript,"An open-source, agentic-first CRM.",https://github.com/trycompai/crm,2026-07-31T21:38:51Z
xdash/FDE-the-Guidance-Book-of-Forward-Deployed-Engineer,1598,N/A,FDE（前沿部署工程师）从零入门指南（基于范冰《增长黑客》原书框架）,https://github.com/xdash/FDE-the-Guidance-Book-of-Forward-Deployed-Engineer,2026-07-30T05:39:38Z
WilonityDev/WilonityLoader,1215,N/A,"Wilonity Loader – cheat lib w/ spoofer, driver bypass, undetected injector for 20+ games (RUST, CS2,",https://github.com/WilonityDev/WilonityLoader,2026-07-31T07:53:54Z
sqliteai/waste,1087,C,Run the full 2.78-trillion-parameter Kimi K3 model beyond available RAM by streaming activated weigh,https://github.com/sqliteai/waste,2026-07-28T20:56:00Z
microsoft/skill-recorder,833,TypeScript,Desktop app that records your on-screen work session and uses the GitHub Copilot CLI to reconstruct ,https://github.com/microsoft/skill-recorder,2026-07-29T18:16:14Z
xikhar/persona,794,JavaScript,Bringing real-time voice to life.,https://github.com/xikhar/persona,2026-07-28T11:40:19Z
DannyMac180/sol-advisor,682,Shell,Codex-native architect orchestration with Luna and Terra implementation lanes and mandatory fresh So,https://github.com/DannyMac180/sol-advisor,2026-08-01T13:56:43Z
talivia-group/talivia,652,TypeScript,"Open-source, self-hosted revenue-first analytics for founders: web analytics, Session Replay, revenu",https://github.com/talivia-group/talivia,2026-07-29T07:56:49Z
