title,url,score,comments,by,hn_url
Qwen 3.8 27B,https://huggingface.co/Qwen/Qwen3.8-27B-FP8,867,568,erdaltoprak,https://news.ycombinator.com/item?id=49299605
"Going Dark, and the era of law enforcement hacking",https://blog.cryptographyengineering.com/2026/08/14/everything-is-about-to-go-dark/,166,107,vslira,https://news.ycombinator.com/item?id=49304447
RISC-V: They should have known better,https://dmitry.gr/?r=06.%20Thoughts&proj=12.%20RV,95,50,kaycebasques,https://news.ycombinator.com/item?id=49305492
The case for overhauling American science,https://www.economist.com/by-invitation/2026/08/13/the-case-for-overhauling-american-science,19,10,andsoitis,https://news.ycombinator.com/item?id=49305708
Why does Opus 5 feel worse to work with?,https://mun-logadan.github.io/why-does-opus-5-feel-worse/,762,696,numeri,https://news.ycombinator.com/item?id=49296740
Google is making private AI practical with homomorphic encryption,https://blog.google/security/how-google-is-making-private-ai-practical-with-homomorphic-encryption/,267,162,u1hcw9nx,https://news.ycombinator.com/item?id=49300314
RustDesk now supports true unattended remote access on Wayland,https://rustdesk.com/blog/unattended-remote-access-wayland/,213,93,rustdesk,https://news.ycombinator.com/item?id=49300759
Super Mario Derivations,https://fzakaria.com/2026/08/05/super-mario-derivations,42,5,domenkozar,https://news.ycombinator.com/item?id=49215682
Stop sending me huge PRs; a rant,https://getsmall.xyz/post/cmstjfl9l000if70ljmpzr4va,30,19,trezm,https://news.ycombinator.com/item?id=49305558
Jane Street suffers $15B hit after meltdown at Situational Awareness,https://www.ft.com/content/47dd5308-dd17-404a-a615-61046defd697,50,10,bobstax,https://news.ycombinator.com/item?id=49305927
