name,stars,language,description,url,created_at
b-nnett/grok-bot-0.18-reconstructed,3386,TypeScript,Unofficial source-oriented reconstruction and extension of Grok Bot 0.18.0 for macOS,https://github.com/b-nnett/grok-bot-0.18-reconstructed,2026-08-23T20:53:01Z
HEJustinSun/my-girlfriend-jingtian-latex,2895,TeX,No description,https://github.com/HEJustinSun/my-girlfriend-jingtian-latex,2026-08-27T11:28:44Z
tobi/walgit,2271,Rust,No description,https://github.com/tobi/walgit,2026-08-23T22:28:01Z
duty1g/x64dbg-mcp-server,1595,Zig,x64dbg-MCP Server is a native MCP (Model Context Protocol) plugin for x64dbg that exposes the debugg,https://github.com/duty1g/x64dbg-mcp-server,2026-08-22T14:28:41Z
ApodexAI/FrontierAgent,1176,Python,"🧩 FrontierAgent, our agent framework, open-sourced alongside it — native command-line TUI, ReAct and",https://github.com/ApodexAI/FrontierAgent,2026-08-22T05:07:35Z
nateherkai/scroll-craft,1116,JavaScript,"Claude Code skill for premium scroll-driven websites. Scroll becomes the timeline, on a real design ",https://github.com/nateherkai/scroll-craft,2026-08-22T15:25:08Z
bryllim/workout-guide,941,Astro,302 open exercise illustrations and a framework-neutral npm package by Bryl Lim,https://github.com/bryllim/workout-guide,2026-08-24T02:14:20Z
sapientinc/PRAXIST,911,Python,"Autonomous research system for measurable, computer-executable research.",https://github.com/sapientinc/PRAXIST,2026-08-27T14:20:58Z
wide-trace/open-higgsfield,882,TypeScript,"A studio for image and video generation — one prompt bar, each model’s own settings, and every finis",https://github.com/wide-trace/open-higgsfield,2026-08-26T06:09:58Z
ShadowAqueduct/watermark-remover,821,Python,"Purge multi-vendor AI watermarks: clean Unicode text, apply statistical rewrite hooks, and clear C2P",https://github.com/ShadowAqueduct/watermark-remover,2026-08-23T21:14:28Z
