name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,488678,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-04-11T01:25:37Z
sindresorhus/awesome,453945,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-04-11T01:16:21Z
freeCodeCamp/freeCodeCamp,442531,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-04-11T01:12:57Z
public-apis/public-apis,420727,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-04-11T01:21:39Z
EbookFoundation/free-programming-books,385307,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-04-11T01:20:11Z
openclaw/openclaw,354209,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-04-11T01:25:22Z
kamranahmedse/developer-roadmap,352659,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2026-04-11T01:25:35Z
donnemartin/system-design-primer,342148,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-04-11T01:23:26Z
jwasham/coding-interview-university,340729,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-04-11T00:59:03Z
vinta/awesome-python,291623,Python,"An opinionated list of Python frameworks, libraries, tools, and resources",https://github.com/vinta/awesome-python,2026-04-11T01:16:58Z
