title,url,score,comments,by,hn_url
Seedance 2.5,https://seed.bytedance.com/en/blog/one-take-creation-flexible-referencing-introducing-seedance-2-5,176,76,njaremko,https://news.ycombinator.com/item?id=49138302
Diátaxis,https://diataxis.fr/,194,29,ryanseys,https://news.ycombinator.com/item?id=49138188
"AI financial advice is surprisingly good, especially if you ask right questions",https://mitsloan.mit.edu/ideas-made-to-matter/ai-financial-advice-surprisingly-good-especially-if-you-ask-right-questions,160,108,foxtrot8672,https://news.ycombinator.com/item?id=49139102
Go 1.27 Interactive Tour,https://victoriametrics.com/blog/go-1-27/index.html,6,1,Hixon10,https://news.ycombinator.com/item?id=49140218
RFC 10015: Deprecating Obsolete Key Exchange Methods in TLS 1.2 and DTLS 1.2,https://www.rfc-editor.org/rfc/rfc10015.html,19,0,Jimmc414,https://news.ycombinator.com/item?id=49139711
Postmortem for Kernel Soundness Bug #14576,https://leodemoura.github.io/blog/2026-8-1-postmortem-for-kernel-soundness-bug-14576/,116,41,juhopitk,https://news.ycombinator.com/item?id=49137060
Unraveling the mysteries of habit formation,https://www.kyoto-u.ac.jp/en/research-news/2026-07-28,34,11,hhs,https://news.ycombinator.com/item?id=49139383
But can your calculator run Linux?,https://raymii.org/s/articles/But_can_your_calculator_run_Linux.html,62,4,jandeboevrie,https://news.ycombinator.com/item?id=49137713
Persistent State Machines: LLM Attention with INT4 In-Memory Cells,https://zenodo.org/records/21753002,3,0,yusuke_esaka,https://news.ycombinator.com/item?id=49140080
We accidentally built an LLVM compiler for Jax,https://iza.ac/posts/2026/07/accidental-llvm-compiler-for-jax/,9,1,infinitewalk,https://news.ycombinator.com/item?id=49117303
