coin,price_usd,market_cap,change_24h,collected_at,trend
bitcoin,63463.0,1269151624278.9177,-4.804330487694017,2026-06-04T02:50:28.915625,📉
cardano,0.195302,7262022468.236545,-7.829062768544192,2026-06-04T02:50:28.915632,📉
ethereum,1774.35,213734104228.46753,-4.221657312807451,2026-06-04T02:50:28.915634,📉
polkadot,1.057,1782963862.104798,-2.3003495315171207,2026-06-04T02:50:28.915636,📉
solana,70.09,40516060045.20593,-5.714543518212351,2026-06-04T02:50:28.915637,📉
