title,url,score,comments,by,hn_url
Hang on to Your Firefox,https://www.newsonaut.com/articles/hang-on-to-your-firefox,554,299,speckx,https://news.ycombinator.com/item?id=49527748
Claude Fable 5.1 and Claude Mythos 5.1,https://www.anthropic.com/claude-fable-and-mythos-5-1,948,892,denysvitali,https://news.ycombinator.com/item?id=49525378
How accurate have Ed Zitron's AI skeptic predictions been?,https://danluu.com/zitron/,433,510,jatins,https://news.ycombinator.com/item?id=49526069
The efficient frontier of LLM inference,https://www.baseten.co/blog/the-efficient-frontier-of-llm-inference/,42,7,philipkiely,https://news.ycombinator.com/item?id=49529898
Show HN: Weedout – Safari extension that hides YouTube AI-labeled videos,https://masteranza.github.io/weedout/,59,20,masteranza,https://news.ycombinator.com/item?id=49528895
My local model setup on an M4 Pro Mac Mini,https://lws.io/blog/my-local-model-setup/,68,29,raybb,https://news.ycombinator.com/item?id=49529132
Claude Fable 5.1 made me a nice animated pelican,https://simonwillison.net/2026/Sep/1/claude-fable-5-1/,34,8,elsewhen,https://news.ycombinator.com/item?id=49530472
Introducing Ad Blocker for Firefox on iOS,https://blog.mozilla.org/en/firefox/ad-blocker-on-ios/,312,108,HieronymusBosch,https://news.ycombinator.com/item?id=49521973
Sonic Pi,https://sonic-pi.net/,35,4,Bluestein,https://news.ycombinator.com/item?id=49482099
Building an interactive instrument for a one-of-a-kind festival,https://benholmen.com/blog/halfmoon-chimes/,14,1,tjwds,https://news.ycombinator.com/item?id=49479909
