name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,446733,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2025-12-06T06:29:41Z
freeCodeCamp/freeCodeCamp,434185,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2025-12-06T06:17:10Z
sindresorhus/awesome,420409,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2025-12-06T06:28:24Z
public-apis/public-apis,382794,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2025-12-06T06:23:32Z
EbookFoundation/free-programming-books,378309,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2025-12-06T06:07:06Z
kamranahmedse/developer-roadmap,344924,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2025-12-06T05:30:47Z
jwasham/coding-interview-university,334457,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2025-12-06T05:38:26Z
donnemartin/system-design-primer,328638,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2025-12-06T06:23:52Z
996icu/996.ICU,274967,N/A,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,2025-12-06T06:09:43Z
vinta/awesome-python,272608,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2025-12-06T06:19:10Z
