name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,500354,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-05-11T02:24:04Z
sindresorhus/awesome,464984,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-05-11T02:21:51Z
freeCodeCamp/freeCodeCamp,444463,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-05-11T02:20:23Z
public-apis/public-apis,433883,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-05-11T02:24:38Z
EbookFoundation/free-programming-books,388025,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-05-11T02:21:02Z
openclaw/openclaw,370590,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-05-11T02:25:37Z
nilbuild/developer-roadmap,354539,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/nilbuild/developer-roadmap,2026-05-11T02:05:17Z
donnemartin/system-design-primer,347748,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-05-11T02:20:15Z
jwasham/coding-interview-university,346526,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-05-11T02:17:35Z
vinta/awesome-python,296970,Python,"An opinionated list of Python frameworks, libraries, tools, and resources",https://github.com/vinta/awesome-python,2026-05-11T02:21:41Z
