coin,price_usd,market_cap,change_24h,collected_at,trend
bitcoin,66656.0,1336690543726.2424,-5.685895662595413,2026-06-03T02:55:15.106679,📉
cardano,0.211903,7865785631.113557,-6.471057884560602,2026-06-03T02:55:15.106690,📉
ethereum,1852.36,223589590285.23828,-6.968954221531217,2026-06-03T02:55:15.106691,📉
polkadot,1.083,1826090294.463465,-5.003907582990067,2026-06-03T02:55:15.106693,📉
solana,74.3,42966158222.953094,-7.598196505234917,2026-06-03T02:55:15.106694,📉
