name,stars,language,description,url,created_at
ai-sucks-butt/ai-sucks-butt,1882,Python,"If you think AI sucks, star the repo.",https://github.com/ai-sucks-butt/ai-sucks-butt,2026-09-14T04:02:58Z
Chuloo/mural,1261,Kotlin,The language app you eventually delete. A native iPhone companion for learning through conversation.,https://github.com/Chuloo/mural,2026-09-12T11:51:08Z
yifanzhang-pro/recurrent-looped-tranformer,861,HTML,Official Project Page for Recurrent Looped Transformer (RLT),https://github.com/yifanzhang-pro/recurrent-looped-tranformer,2026-09-12T19:02:46Z
kruzovic7/ai-data-extractor,827,Python,"Free open-source extractor for AI coding assistant chat histories. Supports Claude Code, Cursor, Win",https://github.com/kruzovic7/ai-data-extractor,2026-09-11T18:12:58Z
zjwzcx/Awesome-Astra-Embodied-AI,773,N/A,GPT-6 Astra for embodied AI and robotics.,https://github.com/zjwzcx/Awesome-Astra-Embodied-AI,2026-09-12T12:20:24Z
eternityspring/reelbench-skills,709,HTML,Learning notes and tooling skills for AI video - AI 视频相关的学习与工具 skill,https://github.com/eternityspring/reelbench-skills,2026-09-11T04:55:49Z
agentverse-os/AgentVerse-OS,682,Rust,Personal cloud OS for a developer and their AI agents on a single server. One-command install on Ubu,https://github.com/agentverse-os/AgentVerse-OS,2026-09-12T18:20:00Z
rizqinrr/viserys-agent,660,JavaScript,No description,https://github.com/rizqinrr/viserys-agent,2026-09-12T16:51:29Z
Faizpi/bank-sampah,646,PHP,No description,https://github.com/Faizpi/bank-sampah,2026-09-11T02:13:29Z
nilbuild/page-mascot,634,Python,A mascot that watches the cursor and blinks when you poke it,https://github.com/nilbuild/page-mascot,2026-09-14T06:55:59Z
