name,stars,language,description,url,created_at
mekos2772/ios-location-spoofer,1287,JavaScript,Standalone iOS app to spoof GPS location without jailbreak. Includes Shadowrocket/Surge/Loon/QX/Stas,https://github.com/mekos2772/ios-location-spoofer,2026-06-30T11:20:30Z
jamesob/local-llm,759,Shell,Everything I know about running LLMs locally,https://github.com/jamesob/local-llm,2026-07-03T13:06:03Z
HUANGCHIHHUNGLeo/claude-real-video,750,Python,"Let Claude (or any LLM) actually watch a video — scene-aware, deduplicated frames + transcript, from",https://github.com/HUANGCHIHHUNGLeo/claude-real-video,2026-06-30T10:55:02Z
xuchonglang/investing-for-beginners,651,N/A,小隐寺投资百科官方公开索引：美股、期权与加密货币知识框架,https://github.com/xuchonglang/investing-for-beginners,2026-07-03T03:56:00Z
jmerelnyc/Talos,589,Python,"GPU worker client for the Talos network. Pairs with your Talos account, serves open-model inference ",https://github.com/jmerelnyc/Talos,2026-07-02T14:43:11Z
uzairansaruzi/hermex,554,Swift,Native iPhone app for your Hermes agent,https://github.com/uzairansaruzi/hermex,2026-07-02T12:47:31Z
TianhangZhuzth/Fundamental-Ava,523,Python,"Build digital human beings — autonomous, collaborative, and socially intelligent agents. FNzgGxU31RW",https://github.com/TianhangZhuzth/Fundamental-Ava,2026-06-30T01:04:13Z
Kulaxyz/token-diet,458,Shell,"Always-on token-efficiency skill for coding agents (Claude Code, Codex, Cursor, Windsurf, Cline). ~3",https://github.com/Kulaxyz/token-diet,2026-07-03T15:20:04Z
spiritov/ds.css,426,CSS,A css framework recreating the DS / DS Lite's UI,https://github.com/spiritov/ds.css,2026-06-29T05:33:18Z
asz798838958/FrciblyK12,415,Python,多线程全自动注册free 强上K12空间,https://github.com/asz798838958/FrciblyK12,2026-07-02T03:47:34Z
