coin,price_usd,market_cap,change_24h,collected_at,trend
bitcoin,89517.0,1788402168302.5405,-0.431935173859791,2026-01-23T01:07:42.481498,📉
cardano,0.359384,13215450264.632702,-2.1875340261855007,2026-01-23T01:07:42.481506,📉
ethereum,2953.33,356454343235.91736,-2.0143546090852453,2026-01-23T01:07:42.481508,📉
polkadot,1.93,3203565731.8188915,-1.6390690072837322,2026-01-23T01:07:42.481509,📉
solana,128.35,72624945496.53998,-1.2861700587820473,2026-01-23T01:07:42.481511,📉
