title,url,score,comments,by,hn_url
Our position on open-weights models,https://www.anthropic.com/news/position-open-weights-models,447,612,surprisetalk,https://news.ycombinator.com/item?id=49076057
Benchmarking Opus 5 on SlopCodeBench,https://github.com/humanlayer/advanced-context-engineering-for-coding-agents/blob/main/benchmarking-opus-5-on-slop-code-bench.md,113,28,dhorthy,https://news.ycombinator.com/item?id=49076391
DConf 2026 in London,https://dconf.org/2026/index.html,44,15,teleforce,https://news.ycombinator.com/item?id=49076840
Astronauts describe persistent 'observer' sensation after 6 month missions,https://spacedaily.com/sd-v-astronauts-returning-from-six-month-missions-describe-a-persistent-observer-sensation-the-feeling-of-watching-their-own-lives-from-a-half-step-outside-the-frame-weeks-after-theyr/,40,17,zdw,https://news.ycombinator.com/item?id=49076900
Watching Go's new garbage collector move through the heap,https://theconsensus.dev/p/2026/07/19/observing-gos-garbage-collector-old-and-new.html,171,17,matheusmoreira,https://news.ycombinator.com/item?id=49045474
C/C++ projects packaged for Zig,https://github.com/allyourcodebase,25,17,jcbhmr,https://news.ycombinator.com/item?id=49076791
Launch HN: Rise Reforming (YC S26) – Turning Waste Gases into Valuable Chemicals,https://www.rise-reforming.com,60,22,george_rose25,https://news.ycombinator.com/item?id=49074817
The Burau representation of the braid group is faithful for n = 4,https://arxiv.org/abs/2607.05283,13,5,wglb,https://news.ycombinator.com/item?id=49077209
Three Theses on the Literacy Crisis,https://trevoraleo.substack.com/p/three-theses-on-the-literacy-crisis,12,6,samclemens,https://news.ycombinator.com/item?id=49050021
Self-contained highly-portable Python distributions,https://gregoryszorc.com/docs/python-build-standalone/main/,112,22,jcbhmr,https://news.ycombinator.com/item?id=49073942
