title,url,score,comments,by,hn_url
"Einstein's relativity rules chemical bonds in heavy elements, new research shows",https://www.brown.edu/news/2026-07-09/chemical-bonds-relativity,94,37,hhs,https://news.ycombinator.com/item?id=48866134
"Apple sues OpenAI, accuses ex-employees of stealing trade secrets",https://9to5mac.com/2026/07/10/apple-sues-openai-trade-secret-theft/,522,252,stock_toaster,https://news.ycombinator.com/item?id=48865019
QuadRF can spot drones and see WiFi through my wall,https://www.jeffgeerling.com/blog/2026/quadrf-can-spot-drones-and-see-wifi-through-my-wall/,451,172,speckx,https://news.ycombinator.com/item?id=48861717
FreeCAD in the Browser,https://magik.net/freecad/,15,10,cui,https://news.ycombinator.com/item?id=48867264
GPT-5.6 Sol Ultra produces proof of the Cycle Double Cover Conjecture [pdf],https://cdn.openai.com/pdf/04d1d1e4-bc75-476a-97cf-49055cd98d31/cdc_proof.pdf,348,280,scrlk,https://news.ycombinator.com/item?id=48863490
Meta pulls new AI image feature after days of backlash,https://www.bbc.com/news/articles/c2dy6e8klw0o,7,1,cdrnsf,https://news.ycombinator.com/item?id=48867233
An update on residential proxies and the scraper situation,https://lwn.net/SubscriberLink/1080822/990a8a5e2d379085/,83,68,chmaynard,https://news.ycombinator.com/item?id=48864252
An iroh powered smart fan,https://www.iroh.computer/blog/an-iroh-powered-smart-fan,11,0,surprisetalk,https://news.ycombinator.com/item?id=48817539
The tech of 'Terminator 2' – an oral history (2017),https://vfxblog.com/2017/08/23/the-tech-of-terminator-2-an-oral-history/,163,67,markus_zhang,https://news.ycombinator.com/item?id=48862365
Combustion engine web-based simulator,https://combustionlab.net,118,52,mytuny,https://news.ycombinator.com/item?id=48795900
