name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,472562,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-03-06T01:19:55Z
sindresorhus/awesome,442894,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-03-06T01:17:09Z
freeCodeCamp/freeCodeCamp,437810,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-03-06T00:40:16Z
public-apis/public-apis,404548,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-03-06T01:12:30Z
EbookFoundation/free-programming-books,383638,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-03-06T00:59:33Z
kamranahmedse/developer-roadmap,350252,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2026-03-06T00:46:21Z
jwasham/coding-interview-university,337616,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-03-06T01:19:57Z
donnemartin/system-design-primer,337398,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-03-06T01:20:15Z
vinta/awesome-python,285764,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2026-03-06T01:13:42Z
awesome-selfhosted/awesome-selfhosted,277590,N/A,A list of Free Software network services and web applications which can be hosted on your own server,https://github.com/awesome-selfhosted/awesome-selfhosted,2026-03-06T01:22:02Z
