title,url,score,comments,by,hn_url
"Google Has Removed MV2 Extensions from the Chrome Web Store, Including UBO",https://webiterate.dev/google-removed-extensions-ublock-origin-108/,582,439,twapi,https://news.ycombinator.com/item?id=49514878
Ex-Crips leader found guilty in 1996 murder of rapper Tupac Shakur,https://www.bbc.com/news/articles/c24j5192j7jo,10,0,1659447091,https://news.ycombinator.com/item?id=49517377
Run macOS Software on Linux,https://www.darlinghq.org/,127,37,Bluestein,https://news.ycombinator.com/item?id=49515830
I turned my security cameras into an automatic bird identification system,https://jasontucker.blog/how-i-turned-my-security-cameras-into-an-automatic-bird-identification-system-with-birdnet-go/,371,97,speckx,https://news.ycombinator.com/item?id=49511856
'Mad honey' that can stop your heart is being sold online,https://phys.org/news/2026-08-mad-honey-heart-sold-online.html,151,96,samizdis,https://news.ycombinator.com/item?id=49476239
Playa Phone,https://playaphone.com/,511,187,cutoff,https://news.ycombinator.com/item?id=49510514
A walkable ASCII cyberpunk city in one HTML file [video],https://www.youtube.com/watch?v=3YtygAx_C6A,218,30,keithcarolus,https://news.ycombinator.com/item?id=49512975
Lion-man – the oldest confirmed statue ever discovered,https://en.wikipedia.org/wiki/Lion-man,64,26,gurjeet,https://news.ycombinator.com/item?id=49494181
Terence Tao explains 6 essential mathematical concepts [video],https://www.youtube.com/watch?v=OOMx2BHHWtE,230,27,matthewsinclair,https://news.ycombinator.com/item?id=49503521
Develop Cross-Platform CLI and GUI Tools with Tcl/Tk,https://cgicoffee.com/blog/2026/04/tcl-tk-develop-cross-platform-cli-gui-tools-tutorial-guide,47,29,aryonoco,https://news.ycombinator.com/item?id=49515662
