name,stars,language,description,url,created_at
browser-use/jev-ultrafast,2377,Python,No description,https://github.com/browser-use/jev-ultrafast,2026-09-16T21:30:12Z
Chuloo/mural,1322,Kotlin,The language app you eventually delete. A native iPhone companion for learning through conversation.,https://github.com/Chuloo/mural,2026-09-12T11:51:08Z
yifanzhang-pro/recurrent-looped-tranformer,873,HTML,Official Project Page for Recurrent Looped Transformer (RLT),https://github.com/yifanzhang-pro/recurrent-looped-tranformer,2026-09-12T19:02:46Z
TheoLeeCJ/openjev,854,Python,Can we run something like Jev on a 3090 at home?,https://github.com/TheoLeeCJ/openjev,2026-09-16T03:51:21Z
zjwzcx/Awesome-Astra-Embodied-AI,825,N/A,GPT-6 Astra for embodied AI and robotics.,https://github.com/zjwzcx/Awesome-Astra-Embodied-AI,2026-09-12T12:20:24Z
agentverse-os/AgentVerse-OS,752,Rust,Personal cloud OS for a developer and their AI agents on a single server. One-command install on Ubu,https://github.com/agentverse-os/AgentVerse-OS,2026-09-12T18:20:00Z
vinnylarouge/jevlike,694,Python,No description,https://github.com/vinnylarouge/jevlike,2026-09-16T10:26:01Z
youngyangyang04/llm-master,688,N/A,大模型（LLM）全栈学习路线与中文教程🔥：覆盖 Prompt Engineering、RAG、AI Agent、MCP、微调、模型部署、Transformer、AI 编程与大厂面试，从入门到生产实践。,https://github.com/youngyangyang04/llm-master,2026-09-12T07:33:31Z
nilbuild/page-mascot,687,Python,A mascot that watches the cursor and blinks when you poke it,https://github.com/nilbuild/page-mascot,2026-09-14T06:55:59Z
rizqinrr/viserys-agent,662,JavaScript,No description,https://github.com/rizqinrr/viserys-agent,2026-09-12T16:51:29Z
