name,stars,language,description,url,created_at
vercel-labs/scriptc,1766,TypeScript,TypeScript-to-Native Compiler,https://github.com/vercel-labs/scriptc,2026-07-22T23:04:54Z
slvDev/esp32-ai,1751,Python,No description,https://github.com/slvDev/esp32-ai,2026-07-23T14:53:51Z
MoonshotAI/Kimi-K3,1432,N/A,Open Frontier Intelligence,https://github.com/MoonshotAI/Kimi-K3,2026-07-27T08:01:37Z
mshumer/Claude-of-Duty,1030,JavaScript,"A Call of Duty-quality FPS in Three.js, built from a single prompt.",https://github.com/mshumer/Claude-of-Duty,2026-07-25T19:32:36Z
mikiarlo3/ai-copywriter,939,Python,An AI copywriter that uses real copywriting skills + real marketing knowledge with human tone.,https://github.com/mikiarlo3/ai-copywriter,2026-07-24T19:52:13Z
makecindy/cindy,854,TypeScript,Consider it done. The open-source AI agent that works out of the box · 想到，就能做到。开源、开箱即用的 AI Agent。,https://github.com/makecindy/cindy,2026-07-22T17:49:34Z
kvcache-ai/AgentENV,681,Rust,AgentENV (AENV) is a distributed platform for running agent environments at scale.,https://github.com/kvcache-ai/AgentENV,2026-07-23T02:48:07Z
VictorTaelin/OptMem,651,Python,"Permanent memory for AI agents. A 426-token prompt, a script, plug and play.",https://github.com/VictorTaelin/OptMem,2026-07-25T16:58:43Z
0xwilliamortiz/openclaude-improved,494,TypeScript,runs anywhere. uses anything,https://github.com/0xwilliamortiz/openclaude-improved,2026-07-26T21:58:28Z
mikehasa/agentacct,469,Python,"Local-first Agent Work Intelligence for coding agents: usage truth, recorded work, and honest joins.",https://github.com/mikehasa/agentacct,2026-07-24T16:28:06Z
