name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,513691,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2026-06-10T02:36:13Z
sindresorhus/awesome,474357,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2026-06-10T02:27:38Z
freeCodeCamp/freeCodeCamp,446532,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2026-06-10T02:12:08Z
public-apis/public-apis,440521,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2026-06-10T02:28:22Z
EbookFoundation/free-programming-books,390011,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2026-06-10T02:34:07Z
openclaw/openclaw,377840,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,https://github.com/openclaw/openclaw,2026-06-10T02:37:25Z
nilbuild/developer-roadmap,356646,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/nilbuild/developer-roadmap,2026-06-10T02:22:31Z
donnemartin/system-design-primer,352401,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2026-06-10T02:29:02Z
jwasham/coding-interview-university,351003,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2026-06-10T02:29:53Z
vinta/awesome-python,302136,Python,"An opinionated list of Python frameworks, libraries, tools, and resources",https://github.com/vinta/awesome-python,2026-06-10T02:27:38Z
